EmployeeID,LastName,FirstName,HireDate,Salary
6cf73fef-f8e1-407c-9b65-6cdcd03a99d7,Patrick,Ruth,2020-01-20,59000
3d0f64ee-afdd-42d7-ab3e-3b6a6074b5a1,Moyer,Alexandria,2020-03-12,78000
da5f1684-c5d4-49f0-a899-f6370da0d4d9,Olivares,Bernice,2020-01-14,77000
9a6aed7f-756f-4e41-961f-41a76f560362,Armijo,Terrie,2020-03-12,90000
e0e95e54-2945-43ce-9386-09a06e5e921b,Winfrey,Scott,2020-03-15,75000
2e33e72f-c263-4e66-b6b7-75df7ed6d6c0,Mares,Marie,2020-03-31,85000
50d3a0ef-33a0-4de4-a23c-2427c9485d33,Hoffman,Linda,2020-02-22,64000
c526a111-6317-488b-99be-595485565c40,Monday,Genevieve,2020-03-28,80000
43fdb4dc-9056-4042-86da-2b157ef78c7a,Johnson,George,2020-01-03,78000
cfcb83e4-6890-44cf-895c-be6b2426a163,Taylor,Mark,2020-03-01,72000
bf081b42-a957-4180-bad7-9ffa2179584d,Zeigler,Jean,2020-01-13,79000
d6962e5c-6066-4110-af7d-57058103d8f9,Greenwood,Pauline,2020-04-06,65000
117a36a0-6298-45ec-8f2d-983ceba09698,Brandl,Shawna,2020-01-02,78000
d8722c01-906e-48d5-b4e8-b3a8bf2487cf,Pham,Adrian,2020-01-27,84000
042cfb0e-0106-4bbc-9064-c106b6b47776,Risser,Norma,2020-03-21,57000
f3660f58-4256-47ce-a8dc-699c56533e53,Gutierrez,Maria,2020-01-26,90000
b36af241-ad55-410b-8e7f-b2575df9e22a,Causey,Franklin,2019-12-25,77000
21d4ebcb-2b14-476a-9ec4-add0d1fe956d,Hamilton,Scarlet,2020-02-25,87000
0623b341-ede8-4200-8799-c1a459c4fd80,Dennard,Glenn,2020-01-07,64000
122a7b10-8267-400f-88ca-941f678e8c9f,Isenberg,Robert,2020-02-18,67000
37e373de-216c-4d7a-b916-65ef2d7243e3,Cox,Michael,2020-02-25,59000
9c6deaa4-b612-4cc6-ac2e-c89ef7cdc417,Polk,Mark,2020-01-14,51000
e461cb7a-38d7-47f9-aac4-901b6d1205ac,Hand,Daniel,2020-02-21,59000
f3abe85b-ef09-4333-87b4-3f2bef46d5ae,Campbell,Betsy,2020-01-01,80000
dcb8c307-4a74-4b52-87f1-7263f0eb1ea0,Buchanan,Nicholas,2020-01-22,63000
462c151d-0ec5-435b-9c61-c54241e775e1,Cornelius,Andy,2019-12-18,84000
fcf1c8c5-c462-47bb-8768-3fa8d294d25b,Lee,Robert,2019-12-03,93000
324581fd-f5e8-430f-ba36-70b786248843,Delgado,Patricia,2020-04-04,90000
56aa6c2e-68ae-4283-a624-4d7ea8061940,Peters,Sharon,2020-01-30,68000
191cef2a-752a-4bf7-9e35-ed605282f778,Weathers,John,2020-03-09,98000
